rank,title,author,publisher,date,price,original_price,discount,comments,recommendation,url
27,人类起源的演化过程 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 2026年适用（无障碍阅读 彩插本）小学四年级,贾兰坡,民主与建设出版社,2020-02-01,16.1,24.8,6.5折,96618,100%推荐,http://product.dangdang.com/28513469.html
28,漫画讲透黄帝内经 十二时辰养生智慧 二十四节气养生智慧 中医八大名著之一养生图解 皇帝内经漫画版原版,张嘉铭，王婧,化学工业出版社,2024-02-01,13.9,58.0,2.4折,280718,100%推荐,http://product.dangdang.com/29702099.html
29,你当像鸟飞往你的山（中文版销量超200万册，比尔·盖茨年度特别推荐！登顶《纽约时报》畅销榜80+周，这本书比你听说的还要好！）,塔拉 · 韦斯特弗  著 ， 新经典  出品,南海出版公司,2019-11-01,34.8,59.0,5.9折,1934961,100%推荐,http://product.dangdang.com/28473192.html
30,红楼梦（上、下册，全两册，全本120回）（团购电话:400-1066666转6）,曹雪芹,人民文学出版社,1982-03-01,59.7,59.7,10.0折,1055611,99.8%推荐,http://product.dangdang.com/102771.html
31,蛤蟆先生去看心理医生（热销500万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,罗伯特·戴博德，果麦文化 出品,天津人民出版社,2020-07-01,22.8,38.0,6.0折,2086404,100%推荐,http://product.dangdang.com/28992419.html
32,我与地坛 纪念版  百班千人寒假书单 九年级推荐阅读 当当自营,史铁生,人民文学出版社,2011-06-01,29.0,29.0,10.0折,1867832,100%推荐,http://product.dangdang.com/21055821.html
33,骆驼祥子 七年级下 名著阅读课程化丛书 升级版 人民教育出版社七年级阅读书目,老舍著,人民教育出版社,2024-12-01,22.4,29.8,7.5折,26460,100%推荐,http://product.dangdang.com/29834736.html
34,悉达多 人民日报推荐 心动的信号7彭高翁青雅同款，翻译家姜乙译本【果麦经典】,[德]赫尔曼·黑塞，译者：姜乙，果麦文化 出品,天津人民出版社,2017-01-01,16.0,32.0,5.0折,761564,100%推荐,http://product.dangdang.com/26186058.html
35,一句顶一万句 刘震云作品 印签版 茅盾文学奖 专享印签本当当自营孟非,刘震云，长江新世纪 出品,广东花城出版社,2022-08-01,64.6,68.0,9.5折,822745,99.9%推荐,http://product.dangdang.com/29437347.html
36,俗世奇人（足本）（《语文》推荐阅读丛书）人民文学出版社,冯骥才,人民文学出版社,2018-04-01,28.0,28.0,10.0折,587907,100%推荐,http://product.dangdang.com/25267185.html
37,没头脑和不高兴（注音版）,任溶溶,浙江少年儿童出版社,2021-08-01,15.0,25.0,6.0折,726914,100%推荐,http://product.dangdang.com/29291249.html
38,四大名著套装 西游记 红楼梦 三国演义 水浒传 五年级下册快乐读书吧推荐阅读 青少版无障碍阅读 中小学生课外阅读指导丛书共4册 12万读者好评！,吴承恩，施耐庵，曹雪芹，罗贯中，,时代文艺出版社,2012-07-01,50.3,59.2,8.5折,215011,99.9%推荐,http://product.dangdang.com/23276506.html
