rank,title,author,publisher,date,price,original_price,discount,comments,recommendation,url
56,昆虫记原著正版八年级下阅读 推荐名著初中语文配套课外阅读语文同步教材 赠学习资料和音频,,黑龙江美术出版社,,15.9,39.8,4.0折,725,100%推荐,http://product.dangdang.com/29971103.html
57,红楼梦（全二册）四大名著 高中“读整本书”推荐阅读（名著阅读课程化丛书）,【清】曹雪芹  高鹗,南方出版社,2020-08-01,59.1,78.8,7.5折,55202,100%推荐,http://product.dangdang.com/29113582.html
58,我的阿勒泰（马伊�P、周依然、于适、蒋奇明主演的同名电视剧）新疆风光 马伊�P周依然于适主演央视热播收视登顶 李娟阿勒泰畅销代表作,李娟,广东花城出版社,2021-08-04,27.0,45.0,6.0折,515907,100%推荐,http://product.dangdang.com/29295452.html
59,了凡四训（2025年新版）,袁了凡，果麦文化  出品,三秦出版社,2025-04-30,17.5,35.0,5.0折,48067,100%推荐,http://product.dangdang.com/29871531.html
60,五味太郎：小金鱼逃走了,五味太郎 著， 爱心树童书  出品,新星出版社,2017-04-01,20.6,35.0,5.9折,546485,100%推荐,http://product.dangdang.com/25069499.html
61,理解人性：成熟不是看懂事情 而是看透人性 任何事件中 都别低估人性的影响,（奥）阿尔弗雷德・阿德勒著，江月 译，文通天下 出品,中国画报出版社,2025-10-01,29.8,56.0,5.3折,50374,100%推荐,http://product.dangdang.com/29955391.html
62,蓦然回首 LookBack 炎拳 电锯人作者藤本树 日本漫画 当当自营,[日]藤本树 著 吴曦 译,新星出版社,2022-08-01,28.5,30.0,9.5折,124725,100%推荐,http://product.dangdang.com/29444910.html
63,萤火之森,[日]绿川幸 著，尤静惠 译,世界图书出版公司,2018-08-10,17.9,18.8,9.5折,65333,100%推荐,http://product.dangdang.com/25319663.html
64,正面管教修订版,[美] 简・尼尔森,北京联合出版公司,2016-07-01,32.3,38.0,8.5折,2345950,100%推荐,http://product.dangdang.com/23990140.html
65,看世界 阅山河+游中国 访名校,藏梦工作室编，拾字文化绘,应急管理出版社,,59.6,119.6,5.0折,0,0%推荐,http://product.dangdang.com/410521140.html
66,暮色将尽(一份诙谐坦荡的老年手记),[英]戴安娜・阿西尔  后浪,四川人民出版社,2022-07-01,47.3,49.8,9.5折,156430,100%推荐,http://product.dangdang.com/29442149.html
67,二千年间 一本书读懂秦朝以来中国两千年历史,胡绳 凤凰含章出品,江苏人民出版社,2020-09-22,18.2,28.0,6.5折,102507,100%推荐,http://product.dangdang.com/29130804.html
68,人教版 骆驼祥子+钢铁是怎样炼成的（升级版）七年级下册 套装2册,[苏]尼古拉 奥斯特洛夫斯基,人民教育出版社,2025-03-12,55.67,75.6,7.4折,2591,100%推荐,http://product.dangdang.com/410443209.html
69,朝俞1+2伪装学渣  限定正面白版护封+背面黑版护封套装  青春畅销小说实体书 当当自营,木瓜黄；力潮文创,广东旅游出版社,2023-05-01,75.6,79.6,9.5折,62076,100%推荐,http://product.dangdang.com/29579929.html
70,我胆小如鼠 新版上市 余华献给被原生家庭伤害过的孩子的自传，看完从胆小怯懦变得松弛强大！读客当代文学文库,余华;读客文化 出品,江苏凤凰文艺出版社,2024-05-30,35.8,49.9,7.2折,155471,100%推荐,http://product.dangdang.com/29755264.html
71,地图上的中国通史 （上下册）,吕思勉 著，李不白 绘,人民日报出版社,2023-08-01,198.0,199.0,9.9折,19301,99.9%推荐,http://product.dangdang.com/29634645.html
72,理我一下（全2册）【亲签版+当当定制Q萌透卡】人气作者冰块儿青春校园成长力作,冰块儿 著，酷威文化 出品,长江出版社,2025-06-01,59.3,69.8,8.5折,507,100%推荐,http://product.dangdang.com/29904241.html
73,拉封丹寓言 快乐读书吧 三年级下册课外阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 5万多读者热评！,（法）让 德 拉封丹,南方出版社,2018-10-01,17.1,22.8,7.5折,118949,100%推荐,http://product.dangdang.com/26440480.html
