rank,title,director,actors,year,country,genre,rating,votes,quote,url
213,城市之光,查理·卓别林,查理·卓别林 弗吉尼亚·切瑞尔,1931,美国,剧情 喜剧 爱情,9.3,172758,,https://movie.douban.com/subject/1293908/
214,爆裂鼓手,达米恩·查泽雷,迈尔斯·特勒 J·K·西蒙斯,2014,美国,剧情 音乐,8.6,690620,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
215,东邪西毒,王家卫,张国荣 林青霞,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,635231,,https://movie.douban.com/subject/1292328/
216,青蛇,徐克,张曼玉 王祖贤,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,600948,,https://movie.douban.com/subject/1303394/
217,哈利·波特与死亡圣器(上),大卫·叶茨,丹尼尔·雷德克里夫 艾玛·沃森,2010,英国 美国,奇幻 冒险,8.6,695325,最忠于原著的一部。,https://movie.douban.com/subject/2051007/
218,无耻混蛋,昆汀·塔伦蒂诺,布拉德·皮特 梅拉尼·罗兰,2009,德国 美国,剧情 犯罪,8.7,561838,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
219,终结者2：审判日,詹姆斯·卡梅隆,阿诺·施瓦辛格 琳达·汉密尔顿,1991,美国 法国,动作 科幻,8.8,385639,,https://movie.douban.com/subject/1291844/
220,大红灯笼高高挂,张艺谋,巩俐 马精武,1991,中国大陆 中国香港 中国台湾,剧情,8.8,371380,,https://movie.douban.com/subject/1293323/
221,黑天鹅,达伦·阿伦诺夫斯基,娜塔莉·波特曼 米拉·库尼斯,2010,美国,剧情 惊悚,8.6,846667,黑暗之美。,https://movie.douban.com/subject/1978709/
222,新龙门客栈,李惠民,张曼玉 林青霞,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.7,509559,,https://movie.douban.com/subject/1292287/
223,初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 华森·波克彭,平采娜·乐维瑟派布恩 马里奥·毛瑞尔,2010,泰国,剧情 喜剧 爱情,8.5,1051500,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
224,人工智能,史蒂文·斯皮尔伯格,海利·乔·奥斯蒙 弗兰西丝·奥康纳,2001,美国,剧情 科幻,8.7,502170,,https://movie.douban.com/subject/1302827/
225,千钧一发,安德鲁·尼科尔,伊桑·霍克 乌玛·瑟曼,1997,美国,剧情 科幻 惊悚,8.8,350143,,https://movie.douban.com/subject/1300117/
226,崖上的波妞,宫崎骏,神月柚莉爱 土井洋辉,2008,日本,动画 奇幻 冒险,8.6,575153,,https://movie.douban.com/subject/1959877/
227,雨人,巴瑞·莱文森,达斯汀·霍夫曼 汤姆·克鲁斯,1988,美国,剧情,8.7,442963,,https://movie.douban.com/subject/1291870/
228,虎口脱险,热拉尔·乌里,路易·德·菲奈斯 布尔维尔,1966,法国 英国,喜剧 战争,8.9,296124,,https://movie.douban.com/subject/1296909/
229,哈利·波特与凤凰社,大卫·叶茨,丹尼尔·雷德克里夫 艾玛·沃森,2007,英国 美国,奇幻 冒险,8.6,695116,,https://movie.douban.com/subject/1457217/
230,彗星来的那一夜,詹姆斯·沃德·布柯特,艾米丽·芭尔多尼 莫瑞·史特林,2013,美国 英国,科幻 悬疑 惊悚,8.6,683859,小成本大魅力。,https://movie.douban.com/subject/25807345/
231,罗生门,黑泽明,三船敏郎 京町子,1950,日本,剧情 悬疑 犯罪,8.8,358167,,https://movie.douban.com/subject/1291879/
232,海边的曼彻斯特,肯尼思·洛纳根,卡西·阿弗莱克 卢卡斯·赫奇斯,2016,美国,剧情 家庭,8.6,652222,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
233,恋恋笔记本,尼克·卡萨维蒂,瑞恩·高斯林 瑞秋·麦克亚当斯,2004,美国,剧情 爱情,8.5,747755,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
234,真爱至上,理查德·柯蒂斯,休·格兰特 连姆·尼森,2003,英国 美国 法国,剧情 喜剧 爱情,8.5,808327,,https://movie.douban.com/subject/1292401/
235,火星救援,雷德利·斯科特,马特·达蒙 杰西卡·查斯坦,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,831852,,https://movie.douban.com/subject/25864085/
236,黑客帝国2：重装上阵,拉娜·沃卓斯基 莉莉·沃卓斯基,基努·里维斯 劳伦斯·菲什伯恩,2003,美国,动作 科幻,8.7,455345,,https://movie.douban.com/subject/1304141/
237,步履不停,是枝裕和,阿部宽 夏川结衣,2008,日本,剧情 家庭,8.8,327697,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
238,冰雪奇缘,克里斯·巴克 珍妮弗·李,克里斯汀·贝尔 伊迪娜·门泽尔,2013,美国,喜剧 动画 歌舞 奇幻,8.5,828235,,https://movie.douban.com/subject/4202982/
239,奇迹男孩,斯蒂芬·卓博斯基,雅各布·特伦布莱 朱莉娅·罗伯茨,2017,美国 中国香港,剧情 家庭 儿童,8.6,600595,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
240,千年女优,今敏,庄司美代子 小山茉美,2001,日本,剧情 爱情 动画,8.8,317969,,https://movie.douban.com/subject/1307394/
